code,documento,razao_social,status
2080,30691293000161,UP LOG SOLUCOES EM ARMAZENS E LOGISTICA LTDA,INATIVA
2136,13841087000171,METALTELAS INDUSTRIA LTDA,INATIVA
2042,18715515000133,LECAPE COMERCIO DE TECIDOS E CONFECCOES LTDA,INATIVA
2094,63231837000161,ARCANA DESIGN LTDA,INATIVA
2402,37511891000150,123123123,INATIVA
2140,50116869000174,RESTAURANTE SALSA LTDA,INATIVA
2141,07550459000108,ORIONES DISTRIBUIDORA DE MATERIAL DE CONSTRUCAO LTDA,INATIVA
2103,14877030000195,L & L SERVICOS CONTABEIS LTDA,INATIVA
2125,04635570000109,PRE-MOLDADOS UNIDOS INDUSTRIA E COMERCIO LTDA,INATIVA
2036,15386439000171,NUV REDE NEUTRA DE TELECOMUNICACOES LTDA,INATIVA
2161,33024708000131,MEMA ACESSORIOS E BIJUTERIAS LTDA,INATIVA
2132,59160869000146,AURORA INFORMATICA COMERCIO IMPORTACAO E EXPORTACAO LTDA,INATIVA
2091,48093989000151,LETFER MAQUINAS E FERRAMENTAS LTDA,INATIVA
2375,12312313200,teste,INATIVA
2068,11095146000184,LMS - LAST MILE SERVICES LTDA,INATIVA
2055,27185211000100,MUSSO & DO VALE LTDA,INATIVA
2147,24200699000525,EPI COMERCIO E DISTRIBUICAO LTDA,INATIVA
2071,10755792000320,RHEEM DO BRASIL COMERCIO E DISTRIBUICAO DE AR CONDICIONADO E AQUECIMENTO LTDA,INATIVA
2053,22796449000140,PEREIRA & AVILA ADVOGADOS ASSOCIADOS,INATIVA
2294,08824171000813,J. C. M. NITEROI REFRIGERACAO LTDA,INATIVA
2086,10198105000150,MUNDI IDIOMAS LTDA,INATIVA
2044,50960727000199,K&K IDIOMAS LTDA,INATIVA
2019,44490805000136,THG COMERCIO E DISTRIBUICAO DE ELETRONICOS E ELETRODOMESTICOS LTDA,INATIVA
2066,36082397000155,NY RESTAURANTES LTDA,INATIVA
2025,34232956000130,LOGFLOW LTDA,INATIVA
2287,20119431000189,VARGAS JR - EMPREENDIMENTOS COMERCIAIS LTDA,INATIVA
2142,01561647000155,MAQUIL MAQUINAS E FERRAMENTAS LTDA,INATIVA
2047,36920281000148,"BESSA OFFSHORE FABRICACAO, MANUTENCAO & INSPECAO INDUSTRIAL LTDA",INATIVA
2069,17333994000160,OPT OPERACOES TELECOM LTDA,INATIVA
2108,43093465000147,FLORESTAL CONSULTORIA LTDA,INATIVA
2035,50485794000107,LUIGI SERRA DOURADA 2 LTDA,INATIVA
2029,04223906000126,SERRAFER SERRA FERRAMENTAS LTDA,INATIVA
2028,39336716000280,G DISTRIBUICAO E COMERCIO DE PRODUTOS LTDA,INATIVA
2060,51888058000154,N J W DUNFORD CONSULTORIA,INATIVA
2153,35972470000100,ROTSEN COMERCIO DE COUROS E PLASTICOS LTDA,INATIVA
2078,30393954000172,WP COMPANY COMERCIO E SERVICOS TECNOLOGIA LTDA,INATIVA
2112,31487853000123,TELAMBRADO INDUSTRIA E COMERCIO DE TELAS LTDA,INATIVA
2031,42452781000103,LALA KIDS ALUGUEL E VENDA DE PRODUTOS INFANTIS LTDA,INATIVA
2110,05285270000100,OSI PARTICIPACOES LTDA,INATIVA
2257,02431819000139,GP UNIVERSAL IMPORTADORA E EXPORTADORA LTDA,INATIVA
2150,22180979000160,CLOSET COLLECTION CONFECCOES LTDA,INATIVA
2404,50190680000121,MIDIAFILM EMBALAGENS INDUSTRIAIS LTDA,INATIVA
2154,27595407000165,GS VIEIRA ADMINISTRACAO DE IMOVEIS LTDA,INATIVA
2137,23234705000179,POWER PRINT COMERCIO E SERVICOS LTDA,INATIVA
2067,35060827000175,LEVANTI MAQUINAS E FERRAMENTAS LTDA,INATIVA
2027,43556334000159,ON SERVICOS DE INTERNET TELECON LTDA,INATIVA
2050,00490732000530,H.G. RAUPP COMERCIAL S.A,INATIVA
2123,64752040000172,L'AQUA NUOVA LTDA,INATIVA
2075,34647606000135,PRADO DISTRIBUIDORA DE UTILIDADE DOMESTICA LTDA,INATIVA
2126,07793479000100,MP INFORMATICA TELECOM LTDA,INATIVA
2155,16632622000253,BELL TEC TELECOMUNICACOES LTDA,INATIVA
2024,00956216000125,ESTACIONE ESTACIONAMENTOS LTDA,INATIVA
2223,02431819000139,GRUPO GRIDPNEUS - GP UNIVERSAL IMPORTADORA E EXPORTADORA,INATIVA
2382,40762813000133,40.762.813 DJANIA MICHELLI MACHADO ROCHA,INATIVA
2124,64515496000119,AKL TECNOLOGIA E SERVICOS LTDA,INATIVA
2106,29080304000198,JERLAU TECNOLOGIA LTDA,INATIVA
2143,24203997000145,ZORZAL GESTAO E TECNOLOGIA LTDA,INATIVA
2059,27930220000170,RECICLABEM METAIS LTDA,INATIVA
